site,country,label,method,alpha,n_cal,pi_t_oracle,pi_t_bbse,coverage_mean,coverage_p05,coverage_sd,review_rate,mean_set_size,valid,n_positive,reliable_estimate
georgia_like,US,AF,split_target,0.1,100,0.0948,0.1083207610664211,0.8995877551020406,0.8504489795918367,0.027683957136138162,0.06378367346938775,0.9373346938775511,False,474,True
georgia_like,US,AF,weighted_source,0.1,100,0.0948,0.1083207610664211,0.8959673469387753,0.8949897959183674,0.0006102825695205189,0.06966530612244898,0.9303346938775509,False,474,True
georgia_like,US,AF,weighted_source_oracle,0.1,100,0.0948,0.1083207610664211,0.8836163265306121,0.8826530612244898,0.0006866854153408052,0.08622857142857145,0.9137714285714285,False,474,True
georgia_like,US,AF,hybrid_g0,0.1,100,0.0948,0.1083207610664211,0.8959673469387753,0.8949897959183674,0.0006102825695205189,0.06966530612244898,0.9303346938775509,False,474,True
georgia_like,US,AF,hybrid_g0.02,0.1,100,0.0948,0.1083207610664211,0.9131999999999999,0.9122448979591836,0.0005437004344603073,0.04602857142857143,0.9539714285714287,True,474,True
georgia_like,US,AF,hybrid_g0.05,0.1,100,0.0948,0.1083207610664211,0.952204081632653,0.9515204081632653,0.00043195939772483634,0.024461224489795916,1.0244612244897962,True,474,True
georgia_like,US,IAVB,split_target,0.1,100,0.0674,0.12382731890744206,0.8970693877551019,0.8464285714285714,0.02959143588750324,0.05180408163265307,0.9612489795918367,False,337,True
georgia_like,US,IAVB,weighted_source,0.1,100,0.0674,0.12382731890744206,0.9437306122448978,0.9430612244897959,0.000447194968973143,0.06238367346938776,1.0623836734693877,True,337,True
georgia_like,US,IAVB,weighted_source_oracle,0.1,100,0.0674,0.12382731890744206,0.9023714285714287,0.9014285714285715,0.0006079988820437053,0.03918367346938775,0.9608163265306122,True,337,True
georgia_like,US,IAVB,hybrid_g0,0.1,100,0.0674,0.12382731890744206,0.943534693877551,0.9428571428571428,0.0004589613974488414,0.0605673469387755,1.0605673469387755,True,337,True
georgia_like,US,IAVB,hybrid_g0.02,0.1,100,0.0674,0.12382731890744206,0.9563510204081633,0.9559183673469388,0.00038210709350101516,0.2181265306122449,1.2181265306122449,True,337,True
georgia_like,US,IAVB,hybrid_g0.05,0.1,100,0.0674,0.12382731890744206,0.9746326530612244,0.9740816326530612,0.00031417967996613953,0.45195510204081635,1.4519551020408163,True,337,True
georgia_like,US,RBBB,split_target,0.1,100,0.0594,0.0812191053644045,0.05942857142857143,0.05877551020408163,0.0004707168405988085,0.9405714285714286,0.05942857142857143,False,297,True
georgia_like,US,RBBB,weighted_source,0.1,100,0.0594,0.0812191053644045,0.05942857142857143,0.05877551020408163,0.0004707168405988085,0.9405714285714286,0.05942857142857143,False,297,True
georgia_like,US,RBBB,weighted_source_oracle,0.1,100,0.0594,0.0812191053644045,0.05942857142857143,0.05877551020408163,0.0004707168405988085,0.9405714285714286,0.05942857142857143,False,297,True
georgia_like,US,RBBB,hybrid_g0,0.1,100,0.0594,0.0812191053644045,0.05942857142857143,0.05877551020408163,0.0004707168405988085,0.9405714285714286,0.05942857142857143,False,297,True
georgia_like,US,RBBB,hybrid_g0.02,0.1,100,0.0594,0.0812191053644045,0.05942857142857143,0.05877551020408163,0.0004707168405988085,0.9405714285714286,0.05942857142857143,False,297,True
georgia_like,US,RBBB,hybrid_g0.05,0.1,100,0.0594,0.0812191053644045,0.05942857142857143,0.05877551020408163,0.0004707168405988085,0.9405714285714286,0.05942857142857143,False,297,True
georgia_like,US,LBBB,split_target,0.1,100,0.0252,0.028357972762701026,0.19565306122448983,0.009479591836734694,0.3717852385990465,0.8043469387755102,0.19565306122448983,False,126,True
georgia_like,US,LBBB,weighted_source,0.1,100,0.0252,0.028357972762701026,0.009779591836734693,0.009387755102040816,0.00022296326993873728,0.9902204081632654,0.009779591836734693,False,126,True
georgia_like,US,LBBB,weighted_source_oracle,0.1,100,0.0252,0.028357972762701026,0.009779591836734693,0.009387755102040816,0.00022296326993873728,0.9902204081632654,0.009779591836734693,False,126,True
georgia_like,US,LBBB,hybrid_g0,0.1,100,0.0252,0.028357972762701026,0.009779591836734693,0.009387755102040816,0.00022296326993873728,0.9902204081632654,0.009779591836734693,False,126,True
georgia_like,US,LBBB,hybrid_g0.02,0.1,100,0.0252,0.028357972762701026,0.924469387755102,0.923765306122449,0.0005118341307748817,0.07553061224489796,0.924469387755102,True,126,True
georgia_like,US,LBBB,hybrid_g0.05,0.1,100,0.0252,0.028357972762701026,0.9569959183673469,0.956530612244898,0.0004041434708403824,0.04300408163265306,0.9569959183673469,True,126,True
georgia_like,US,SB,split_target,0.1,100,0.0768,0.10068969165335134,0.902261224489796,0.8412040816326531,0.031104018363399398,0.08952653061224489,0.9104734693877549,True,384,True
georgia_like,US,SB,weighted_source,0.1,100,0.0768,0.10068969165335134,0.9016367346938776,0.9006122448979592,0.0005573932307276225,0.09117142857142857,0.9088285714285713,True,384,True
georgia_like,US,SB,weighted_source_oracle,0.1,100,0.0768,0.10068969165335134,0.887595918367347,0.8864183673469388,0.0006648051199889527,0.10840816326530611,0.891591836734694,False,384,True
georgia_like,US,SB,hybrid_g0,0.1,100,0.0768,0.10068969165335134,0.9016367346938776,0.9006122448979592,0.0005573932307276225,0.09117142857142857,0.9088285714285713,True,384,True
georgia_like,US,SB,hybrid_g0.02,0.1,100,0.0768,0.10068969165335134,0.9214448979591836,0.9206122448979592,0.00048266924078672256,0.06797959183673469,0.9320204081632653,True,384,True
georgia_like,US,SB,hybrid_g0.05,0.1,100,0.0768,0.10068969165335134,0.9480326530612244,0.9472346938775511,0.00046135089472472694,0.03060816326530612,0.9693918367346939,True,384,True
georgia_like,US,STACH,split_target,0.1,100,0.0882,0.0747924209946546,0.9061551020408163,0.846265306122449,0.033481465217632476,0.09160816326530613,0.9083918367346939,True,441,True
georgia_like,US,STACH,weighted_source,0.1,100,0.0882,0.0747924209946546,0.9224367346938774,0.9215204081632653,0.0005572736633468878,0.07576734693877551,0.9242326530612245,True,441,True
georgia_like,US,STACH,weighted_source_oracle,0.1,100,0.0882,0.0747924209946546,0.9258408163265307,0.9248979591836735,0.0005668769158594175,0.07196326530612245,0.9280367346938776,True,441,True
georgia_like,US,STACH,hybrid_g0,0.1,100,0.0882,0.0747924209946546,0.9224367346938774,0.9215204081632653,0.0005572736633468878,0.07576734693877551,0.9242326530612245,True,441,True
georgia_like,US,STACH,hybrid_g0.02,0.1,100,0.0882,0.0747924209946546,0.9372489795918366,0.9363265306122449,0.0005629694579450408,0.05975510204081633,0.9402448979591835,True,441,True
georgia_like,US,STACH,hybrid_g0.05,0.1,100,0.0882,0.0747924209946546,0.9616081632653061,0.9610204081632653,0.00048232395907665717,0.02917959183673469,0.9708204081632652,True,441,True
ptbxl_like,DE,AF,split_target,0.1,100,0.082,0.0,0.8966775510204082,0.8534897959183673,0.02838032414955509,0.060428571428571436,0.9420530612244897,False,410,True
ptbxl_like,DE,AF,weighted_source,0.1,100,0.082,0.0,0.8999265306122449,0.8991836734693878,0.0005883217223421214,0.05867755102040816,0.9413224489795919,False,410,True
ptbxl_like,DE,AF,weighted_source_oracle,0.1,100,0.082,0.0,0.9114693877551021,0.9106122448979592,0.0005476084842856364,0.039914285714285715,0.9600857142857143,True,410,True
ptbxl_like,DE,AF,hybrid_g0,0.1,100,0.082,0.0,0.8999265306122449,0.8991836734693878,0.0005883217223421214,0.05867755102040816,0.9413224489795919,False,410,True
ptbxl_like,DE,AF,hybrid_g0.02,0.1,100,0.082,0.0,0.9068612244897959,0.9061224489795918,0.00053823411264678,0.04833877551020409,0.951661224489796,True,410,True
ptbxl_like,DE,AF,hybrid_g0.05,0.1,100,0.082,0.0,0.9120775510204081,0.9112244897959184,0.0005471367293310229,0.03891020408163265,0.9610897959183674,True,410,True
ptbxl_like,DE,IAVB,split_target,0.1,100,0.0392,0.15651056344316444,0.8985183673469389,0.8413163265306123,0.026952835230214744,0.06734285714285715,0.9326571428571429,False,196,True
ptbxl_like,DE,IAVB,weighted_source,0.1,100,0.0392,0.15651056344316444,0.9741551020408165,0.973765306122449,0.00026058595427775607,0.21084897959183674,1.2108489795918367,True,196,True
ptbxl_like,DE,IAVB,weighted_source_oracle,0.1,100,0.0392,0.15651056344316444,0.8796081632653062,0.8786632653061225,0.0006386679181736778,0.08792244897959182,0.9120775510204082,False,196,True
ptbxl_like,DE,IAVB,hybrid_g0,0.1,100,0.0392,0.15651056344316444,0.9741551020408165,0.973765306122449,0.00026058595427775607,0.21084897959183674,1.2108489795918367,True,196,True
ptbxl_like,DE,IAVB,hybrid_g0.02,0.1,100,0.0392,0.15651056344316444,0.9795673469387753,0.9791836734693877,0.0002222148177765937,0.32380816326530615,1.323808163265306,True,196,True
ptbxl_like,DE,IAVB,hybrid_g0.05,0.1,100,0.0392,0.15651056344316444,0.9863959183673469,0.9861224489795918,0.00021447028008848666,0.5099346938775511,1.5099346938775509,True,196,True
ptbxl_like,DE,RBBB,split_target,0.1,100,0.0552,0.3344558906855501,0.0552,0.054377551020408164,0.0004711413560982228,0.9447999999999999,0.0552,False,276,True
ptbxl_like,DE,RBBB,weighted_source,0.1,100,0.0552,0.3344558906855501,0.0552,0.054377551020408164,0.0004711413560982228,0.9447999999999999,0.0552,False,276,True
ptbxl_like,DE,RBBB,weighted_source_oracle,0.1,100,0.0552,0.3344558906855501,0.0552,0.054377551020408164,0.0004711413560982228,0.9447999999999999,0.0552,False,276,True
ptbxl_like,DE,RBBB,hybrid_g0,0.1,100,0.0552,0.3344558906855501,0.0552,0.054377551020408164,0.0004711413560982228,0.9447999999999999,0.0552,False,276,True
ptbxl_like,DE,RBBB,hybrid_g0.02,0.1,100,0.0552,0.3344558906855501,0.0552,0.054377551020408164,0.0004711413560982228,0.9447999999999999,0.0552,False,276,True
ptbxl_like,DE,RBBB,hybrid_g0.05,0.1,100,0.0552,0.3344558906855501,0.0552,0.054377551020408164,0.0004711413560982228,0.9447999999999999,0.0552,False,276,True
ptbxl_like,DE,LBBB,split_target,0.1,100,0.0262,0.0037562596503187056,0.06030612244897959,0.003061224489795918,0.22604512142037228,0.9396938775510202,0.06030612244897959,False,131,True
ptbxl_like,DE,LBBB,weighted_source,0.1,100,0.0262,0.0037562596503187056,0.0032000000000000006,0.003061224489795918,0.00011133209548559892,0.9967999999999998,0.0032000000000000006,False,131,True
ptbxl_like,DE,LBBB,weighted_source_oracle,0.1,100,0.0262,0.0037562596503187056,0.0032000000000000006,0.003061224489795918,0.00011133209548559892,0.9967999999999998,0.0032000000000000006,False,131,True
ptbxl_like,DE,LBBB,hybrid_g0,0.1,100,0.0262,0.0037562596503187056,0.0032000000000000006,0.003061224489795918,0.00011133209548559892,0.9967999999999998,0.0032000000000000006,False,131,True
ptbxl_like,DE,LBBB,hybrid_g0.02,0.1,100,0.0262,0.0037562596503187056,0.0032000000000000006,0.003061224489795918,0.00011133209548559892,0.9967999999999998,0.0032000000000000006,False,131,True
ptbxl_like,DE,LBBB,hybrid_g0.05,0.1,100,0.0262,0.0037562596503187056,0.9522857142857143,0.9515204081632653,0.0004377063385617852,0.047714285714285716,0.9522857142857143,True,131,True
ptbxl_like,DE,SB,split_target,0.1,100,0.0266,0.1583736354730331,0.9031265306122449,0.8508877551020408,0.027042547191427495,0.04208979591836735,0.9876326530612245,True,133,True
ptbxl_like,DE,SB,weighted_source,0.1,100,0.0266,0.1583736354730331,0.8589020408163266,0.8577551020408163,0.0006705440486024856,0.09076326530612246,0.9092367346938776,False,133,True
ptbxl_like,DE,SB,weighted_source_oracle,0.1,100,0.0266,0.1583736354730331,0.7465469387755101,0.7449897959183674,0.0008501561705763205,0.24922040816326532,0.7507795918367346,False,133,True
ptbxl_like,DE,SB,hybrid_g0,0.1,100,0.0266,0.1583736354730331,0.8589020408163266,0.8577551020408163,0.0006705440486024856,0.09076326530612246,0.9092367346938776,False,133,True
ptbxl_like,DE,SB,hybrid_g0.02,0.1,100,0.0266,0.1583736354730331,0.8726816326530613,0.8718367346938776,0.0005743511269188278,0.06697142857142857,0.9330285714285715,False,133,True
ptbxl_like,DE,SB,hybrid_g0.05,0.1,100,0.0266,0.1583736354730331,0.9020530612244899,0.9012244897959184,0.0005763779823249059,0.019200000000000002,0.9808000000000001,True,133,True
ptbxl_like,DE,STACH,split_target,0.1,100,0.0346,0.0016175563790849002,0.8927224489795919,0.8436224489795918,0.027767212543960446,0.10727755102040815,0.8927224489795919,False,173,True
ptbxl_like,DE,STACH,weighted_source,0.1,100,0.0346,0.0016175563790849002,0.9615224489795916,0.9610204081632653,0.00033461920520913997,0.03847755102040816,0.9615224489795916,True,173,True
ptbxl_like,DE,STACH,weighted_source_oracle,0.1,100,0.0346,0.0016175563790849002,0.9643102040816328,0.963765306122449,0.00033319725113402116,0.03568979591836735,0.9643102040816328,True,173,True
ptbxl_like,DE,STACH,hybrid_g0,0.1,100,0.0346,0.0016175563790849002,0.9613183673469387,0.9608163265306122,0.0003346192052091399,0.03868163265306122,0.9613183673469387,True,173,True
ptbxl_like,DE,STACH,hybrid_g0.02,0.1,100,0.0346,0.0016175563790849002,0.9679428571428572,0.9673469387755103,0.0003336968724239662,0.032057142857142853,0.9679428571428572,True,173,True
ptbxl_like,DE,STACH,hybrid_g0.05,0.1,100,0.0346,0.0016175563790849002,0.978742857142857,0.9783673469387755,0.0002687686144188494,0.02065306122448979,0.9793469387755099,True,173,True
chapman_like,CN,AF,split_target,0.1,100,0.0754,0.018342448498823535,0.9013632653061225,0.8495306122448979,0.030364368956461375,0.05535102040816327,0.9525591836734695,True,377,True
chapman_like,CN,AF,weighted_source,0.1,100,0.0754,0.018342448498823535,0.8741836734693876,0.873061224489796,0.0006820724476354373,0.08601224489795918,0.9139877551020408,False,377,True
chapman_like,CN,AF,weighted_source_oracle,0.1,100,0.0754,0.018342448498823535,0.8969755102040815,0.8959183673469387,0.0006501081190314916,0.05861224489795917,0.9413877551020406,False,377,True
chapman_like,CN,AF,hybrid_g0,0.1,100,0.0754,0.018342448498823535,0.8741836734693876,0.873061224489796,0.0006820724476354373,0.08601224489795918,0.9139877551020408,False,377,True
chapman_like,CN,AF,hybrid_g0.02,0.1,100,0.0754,0.018342448498823535,0.8908244897959184,0.889795918367347,0.0006388244096820927,0.06778775510204083,0.9322122448979592,False,377,True
chapman_like,CN,AF,hybrid_g0.05,0.1,100,0.0754,0.018342448498823535,0.9067877551020408,0.9059183673469388,0.0005548769051255783,0.04661224489795919,0.9533877551020408,True,377,True
chapman_like,CN,IAVB,split_target,0.1,100,0.0558,0.7070940421267774,0.8996530612244897,0.8482244897959184,0.03018127241350381,0.0553265306122449,0.9556204081632653,False,279,True
chapman_like,CN,IAVB,weighted_source,0.1,100,0.0558,0.7070940421267774,0.9887918367346937,0.9885714285714285,0.00019929070393034855,0.7314081632653061,1.731408163265306,True,279,True
chapman_like,CN,IAVB,weighted_source_oracle,0.1,100,0.0558,0.7070940421267774,0.7575755102040815,0.7563265306122449,0.0008341323394303099,0.20344489795918366,0.7965551020408164,False,279,True
chapman_like,CN,IAVB,hybrid_g0,0.1,100,0.0558,0.7070940421267774,0.9887918367346937,0.9885714285714285,0.00019929070393034855,0.7314081632653061,1.731408163265306,True,279,True
chapman_like,CN,IAVB,hybrid_g0.02,0.1,100,0.0558,0.7070940421267774,0.992604081632653,0.9924489795918368,0.00017584211615133286,0.798473469387755,1.7984734693877553,True,279,True
chapman_like,CN,IAVB,hybrid_g0.05,0.1,100,0.0558,0.7070940421267774,0.9940122448979594,0.9938775510204082,0.00016126323481745834,0.8290612244897959,1.829061224489796,True,279,True
chapman_like,CN,RBBB,split_target,0.1,100,0.083,0.9091635947415375,0.3722040816326531,0.08204081632653061,0.40332782709596693,0.6227428571428572,0.37725714285714285,False,415,True
chapman_like,CN,RBBB,weighted_source,0.1,100,0.083,0.9091635947415375,0.08281632653061223,0.08172448979591836,0.0006176631000172064,0.9125918367346937,0.08740816326530611,False,415,True
chapman_like,CN,RBBB,weighted_source_oracle,0.1,100,0.083,0.9091635947415375,0.08281632653061223,0.08172448979591836,0.0006176631000172064,0.9125918367346937,0.08740816326530611,False,415,True
chapman_like,CN,RBBB,hybrid_g0,0.1,100,0.083,0.9091635947415375,0.08281632653061223,0.08172448979591836,0.0006176631000172064,0.9125918367346937,0.08740816326530611,False,415,True
chapman_like,CN,RBBB,hybrid_g0.02,0.1,100,0.083,0.9091635947415375,0.08281632653061223,0.08172448979591836,0.0006176631000172064,0.9125918367346937,0.08740816326530611,False,415,True
chapman_like,CN,RBBB,hybrid_g0.05,0.1,100,0.083,0.9091635947415375,0.08281632653061223,0.08172448979591836,0.0006176631000172064,0.9125918367346937,0.08740816326530611,False,415,True
chapman_like,CN,LBBB,split_target,0.1,100,0.0134,0.0,0.01980816326530612,0.0006122448979591836,0.1344297435528566,0.980191836734694,0.01980816326530612,False,67,True
chapman_like,CN,LBBB,weighted_source,0.1,100,0.0134,0.0,0.0006040816326530613,0.0006122448979591836,3.9991669269929424e-05,0.9993959183673471,0.0006040816326530613,False,67,True
chapman_like,CN,LBBB,weighted_source_oracle,0.1,100,0.0134,0.0,0.0006040816326530613,0.0006122448979591836,3.9991669269929424e-05,0.9993959183673471,0.0006040816326530613,False,67,True
chapman_like,CN,LBBB,hybrid_g0,0.1,100,0.0134,0.0,0.0006040816326530613,0.0006122448979591836,3.9991669269929424e-05,0.9993959183673471,0.0006040816326530613,False,67,True
chapman_like,CN,LBBB,hybrid_g0.02,0.1,100,0.0134,0.0,0.0006040816326530613,0.0006122448979591836,3.9991669269929424e-05,0.9993959183673471,0.0006040816326530613,False,67,True
chapman_like,CN,LBBB,hybrid_g0.05,0.1,100,0.0134,0.0,0.9676040816326532,0.9670306122448981,0.00039321610952245393,0.03239591836734694,0.9676040816326532,True,67,True
chapman_like,CN,SB,split_target,0.1,100,0.1612,0.0983414016518954,0.8966204081632654,0.8410102040816326,0.03840773297813584,0.059269387755102036,0.9938163265306121,False,806,True
chapman_like,CN,SB,weighted_source,0.1,100,0.1612,0.0983414016518954,0.8398285714285716,0.8384591836734694,0.0008842741984112473,0.11098367346938776,0.8890163265306125,False,806,True
chapman_like,CN,SB,weighted_source_oracle,0.1,100,0.1612,0.0983414016518954,0.8630040816326531,0.8618367346938776,0.0008629926717650723,0.07421632653061225,0.9257836734693876,False,806,True
chapman_like,CN,SB,hybrid_g0,0.1,100,0.1612,0.0983414016518954,0.8398285714285716,0.8384591836734694,0.0008842741984112473,0.11098367346938776,0.8890163265306125,False,806,True
chapman_like,CN,SB,hybrid_g0.02,0.1,100,0.1612,0.0983414016518954,0.8562326530612245,0.8549897959183674,0.0008813019031890857,0.08499183673469389,0.9150081632653062,False,806,True
chapman_like,CN,SB,hybrid_g0.05,0.1,100,0.1612,0.0983414016518954,0.881991836734694,0.8808163265306123,0.000891030785135013,0.04020816326530612,0.9597918367346939,False,806,True
chapman_like,CN,STACH,split_target,0.1,100,0.0646,0.020822791531879527,0.8959183673469387,0.8395102040816327,0.03198596631049821,0.1029265306122449,0.8970734693877549,False,323,True
chapman_like,CN,STACH,weighted_source,0.1,100,0.0646,0.020822791531879527,0.9328979591836736,0.9321326530612245,0.000458162128992733,0.06391020408163264,0.9360897959183673,True,323,True
chapman_like,CN,STACH,weighted_source_oracle,0.1,100,0.0646,0.020822791531879527,0.9424734693877552,0.9418367346938775,0.00044831119078354755,0.05433469387755102,0.9456653061224491,True,323,True
chapman_like,CN,STACH,hybrid_g0,0.1,100,0.0646,0.020822791531879527,0.9328979591836736,0.9321326530612245,0.000458162128992733,0.06391020408163264,0.9360897959183673,True,323,True
chapman_like,CN,STACH,hybrid_g0.02,0.1,100,0.0646,0.020822791531879527,0.9460857142857144,0.9455102040816327,0.0004390174937859164,0.05072244897959183,0.949277551020408,True,323,True
chapman_like,CN,STACH,hybrid_g0.05,0.1,100,0.0646,0.020822791531879527,0.9605510204081632,0.96,0.00041874050058537623,0.03305714285714286,0.9669428571428571,True,323,True
code15_like,BR,AF,split_target,0.1,100,0.021,0.8545774057474198,0.9000897959183674,0.8480510204081633,0.033801689342629906,0.7218081632653062,1.721808163265306,True,105,True
code15_like,BR,AF,weighted_source,0.1,100,0.021,0.8545774057474198,0.9214244897959183,0.9206122448979592,0.0005822445760637373,0.7747836734693878,1.7747836734693876,True,105,True
code15_like,BR,AF,weighted_source_oracle,0.1,100,0.021,0.8545774057474198,0.24060816326530618,0.23907142857142857,0.0008339825320753136,0.6156489795918367,0.38435102040816327,False,105,True
code15_like,BR,AF,hybrid_g0,0.1,100,0.021,0.8545774057474198,0.9214244897959183,0.9206122448979592,0.0005822445760637373,0.7747836734693878,1.7747836734693876,True,105,True
code15_like,BR,AF,hybrid_g0.02,0.1,100,0.021,0.8545774057474198,0.9348367346938775,0.9340816326530612,0.0005449399968497489,0.8099061224489796,1.8099061224489796,True,105,True
code15_like,BR,AF,hybrid_g0.05,0.1,100,0.021,0.8545774057474198,0.9577918367346939,0.9571428571428572,0.0004352061750792719,0.8727795918367347,1.8727795918367343,True,105,True
code15_like,BR,IAVB,split_target,0.1,100,0.0186,1.0,0.8999795918367348,0.8295510204081633,0.03613601152054662,0.08295102040816327,0.9170489795918365,False,93,True
code15_like,BR,IAVB,weighted_source,0.1,100,0.0186,1.0,0.998787755102041,0.9987755102040816,4.846670239607372e-05,0.9394244897959182,1.9394244897959183,True,93,True
