site,country,label,method,n_cal,n_repeats,n_failed,ece_mean,ece_median,ece_q90,n_positive,reliable_estimate
georgia_like,US,AF,identity,0,1,0,0.012778228696555332,0.012778228696555332,0.012778228696555332,474,True
georgia_like,US,AF,prior_correction,0,1,0,0.012373302488734405,0.012373302488734405,0.012373302488734405,474,True
georgia_like,US,AF,prior_correction_gated,0,1,0,0.012778228696555332,0.012778228696555332,0.012778228696555332,474,True
georgia_like,US,AF,prior_correction_minimax,0,1,0,0.01262019840223901,0.01262019840223901,0.01262019840223901,474,True
georgia_like,US,AF,temperature,0,20,0,0.012786280753772975,0.01277691569364028,0.012801016131042986,474,True
georgia_like,US,AF,platt,0,20,0,0.012786280753772975,0.01277691569364028,0.012801016131042986,474,True
georgia_like,US,AF,isotonic,0,20,0,0.012786280753772975,0.01277691569364028,0.012801016131042986,474,True
georgia_like,US,AF,hybrid,0,20,0,0.012786280753772975,0.01277691569364028,0.012801016131042986,474,True
georgia_like,US,AF,hybrid_minimax,0,20,0,0.012786280753772975,0.01277691569364028,0.012801016131042986,474,True
georgia_like,US,AF,identity,25,20,0,0.012784706207863494,0.012793271716295029,0.01314314501958788,474,True
georgia_like,US,AF,prior_correction,25,20,0,0.01241532934839728,0.01243934925408834,0.012789920015397367,474,True
georgia_like,US,AF,prior_correction_gated,25,20,0,0.012784706207863494,0.012793271716295029,0.01314314501958788,474,True
georgia_like,US,AF,prior_correction_minimax,25,20,0,0.012653805794578856,0.012690851241923217,0.013041850877473653,474,True
georgia_like,US,AF,temperature,25,20,0,0.0441464251205839,0.04020420229936847,0.08663619865415753,474,True
georgia_like,US,AF,platt,25,20,0,0.05759879579907993,0.050644004509174625,0.09964852201507608,474,True
georgia_like,US,AF,isotonic,25,20,0,0.052458297283285237,0.04259516949146608,0.08771814447328874,474,True
georgia_like,US,AF,hybrid,25,20,0,0.04222894051116809,0.03832990825662702,0.08616110379741197,474,True
georgia_like,US,AF,hybrid_minimax,25,20,0,0.04176511413235135,0.03552381496043417,0.08596540276679286,474,True
georgia_like,US,AF,identity,50,20,0,0.012883987884266191,0.012842089449452379,0.01341457439676162,474,True
georgia_like,US,AF,prior_correction,50,20,0,0.012529954400336227,0.01250132490846822,0.012993968207330071,474,True
georgia_like,US,AF,prior_correction_gated,50,20,0,0.012883987884266191,0.012842089449452379,0.01341457439676162,474,True
georgia_like,US,AF,prior_correction_minimax,50,20,0,0.012763730156500296,0.01274234866494832,0.01323984891319948,474,True
georgia_like,US,AF,temperature,50,20,0,0.028559795005026572,0.01802600438289559,0.05471069501344731,474,True
georgia_like,US,AF,platt,50,20,0,0.03944125388653138,0.03665617890262583,0.06125193739683079,474,True
georgia_like,US,AF,isotonic,50,20,0,0.03904075382456158,0.03749615437286527,0.058943957931210315,474,True
georgia_like,US,AF,hybrid,50,20,0,0.028474421691417163,0.019524537146932634,0.05064093936232136,474,True
georgia_like,US,AF,hybrid_minimax,50,20,0,0.028947898597648174,0.02131886154590528,0.048059727933075946,474,True
georgia_like,US,AF,identity,100,20,0,0.012803710111018737,0.012704953831432875,0.013512663291752337,474,True
georgia_like,US,AF,prior_correction,100,20,0,0.012436676256053384,0.01235005643058833,0.013244462162419387,474,True
georgia_like,US,AF,prior_correction_gated,100,20,0,0.012803710111018737,0.012704953831432875,0.013512663291752337,474,True
georgia_like,US,AF,prior_correction_minimax,100,20,0,0.01266210288933621,0.01259238301651125,0.013490950845518775,474,True
georgia_like,US,AF,temperature,100,20,0,0.01730107256202249,0.012592184887940647,0.03162570171226404,474,True
georgia_like,US,AF,platt,100,20,0,0.029310072650159356,0.02313750195949811,0.0531455582236003,474,True
georgia_like,US,AF,isotonic,100,20,0,0.03235596158593954,0.027187645976086718,0.05880409265362132,474,True
georgia_like,US,AF,hybrid,100,20,0,0.018015970368904715,0.013817169552187997,0.02998918334593943,474,True
georgia_like,US,AF,hybrid_minimax,100,20,0,0.019267432669499502,0.01550396298131682,0.029350193784614738,474,True
georgia_like,US,AF,identity,200,20,0,0.012804835687686084,0.012781566512428465,0.013350164891208683,474,True
georgia_like,US,AF,prior_correction,200,20,0,0.012384937427950075,0.012337675995485325,0.013136453070384545,474,True
georgia_like,US,AF,prior_correction_gated,200,20,0,0.012804835687686084,0.012781566512428465,0.013350164891208683,474,True
georgia_like,US,AF,prior_correction_minimax,200,20,0,0.01253674612359669,0.012506621150252643,0.013187728590804979,474,True
georgia_like,US,AF,temperature,200,20,0,0.014876699913022822,0.014671644083894726,0.023402004046417717,474,True
georgia_like,US,AF,platt,200,20,0,0.022133413253123364,0.02151511673042874,0.03521297036043564,474,True
georgia_like,US,AF,isotonic,200,20,0,0.025134553258388054,0.02296919560048452,0.04211109543654746,474,True
georgia_like,US,AF,hybrid,200,20,0,0.015877151826363494,0.015782852612812516,0.022531323831045356,474,True
georgia_like,US,AF,hybrid_minimax,200,20,0,0.01746397022361226,0.017867505132609728,0.023638058216338673,474,True
georgia_like,US,AF,identity,400,20,0,0.013321822593503563,0.013147255187785352,0.01420849614572988,474,True
georgia_like,US,AF,prior_correction,400,20,0,0.012748672090634152,0.012629175912250594,0.013873496447550654,474,True
georgia_like,US,AF,prior_correction_gated,400,20,0,0.013321822593503563,0.013147255187785352,0.01420849614572988,474,True
georgia_like,US,AF,prior_correction_minimax,400,20,0,0.012892595386478892,0.012751688292834667,0.014058753952097384,474,True
georgia_like,US,AF,temperature,400,20,0,0.012971630919355775,0.01143618270912539,0.02063695033663235,474,True
georgia_like,US,AF,platt,400,20,0,0.018873702293419867,0.01731043441593321,0.03015597326004203,474,True
georgia_like,US,AF,isotonic,400,20,0,0.01795121044874377,0.018040329772419136,0.02621852211373182,474,True
georgia_like,US,AF,hybrid,400,20,0,0.01446593637277339,0.013632602183909978,0.021731460277882794,474,True
georgia_like,US,AF,hybrid_minimax,400,20,0,0.016142453666300786,0.015550512467096564,0.02276269275179781,474,True
georgia_like,US,AF,identity,800,20,0,0.013767918914514007,0.013914318514403801,0.015124292585175479,474,True
georgia_like,US,AF,prior_correction,800,20,0,0.012838790301126146,0.01283119329009338,0.014693445681185299,474,True
georgia_like,US,AF,prior_correction_gated,800,20,0,0.013767918914514007,0.013914318514403801,0.015124292585175479,474,True
georgia_like,US,AF,prior_correction_minimax,800,20,0,0.012959262248614439,0.012837921842210089,0.01477217732327102,474,True
georgia_like,US,AF,temperature,800,20,0,0.01138307589623643,0.010522903775137309,0.015469693097913954,474,True
georgia_like,US,AF,platt,800,20,0,0.014992905260462088,0.014629247948249428,0.02242174632939037,474,True
georgia_like,US,AF,isotonic,800,20,0,0.015567239620048598,0.015578869669090775,0.021738695217234268,474,True
georgia_like,US,AF,hybrid,800,20,0,0.012991390839872677,0.012305177924160759,0.017742821312160317,474,True
georgia_like,US,AF,hybrid_minimax,800,20,0,0.014700601703178865,0.013827612306136525,0.01933860581007761,474,True
georgia_like,US,IAVB,identity,0,1,0,0.024564438779223992,0.024564438779223992,0.024564438779223992,337,True
georgia_like,US,IAVB,prior_correction,0,1,0,0.06094349575812852,0.06094349575812852,0.06094349575812852,337,True
georgia_like,US,IAVB,prior_correction_gated,0,1,0,0.06094349575812852,0.06094349575812852,0.06094349575812852,337,True
georgia_like,US,IAVB,prior_correction_minimax,0,1,0,0.14413441135366215,0.14413441135366215,0.14413441135366215,337,True
georgia_like,US,IAVB,temperature,0,20,0,0.024652988589762437,0.024565197116512408,0.02495820143884515,337,True
georgia_like,US,IAVB,platt,0,20,0,0.024652988589762437,0.024565197116512408,0.02495820143884515,337,True
georgia_like,US,IAVB,isotonic,0,20,0,0.024652988589762437,0.024565197116512408,0.02495820143884515,337,True
georgia_like,US,IAVB,hybrid,0,20,0,0.024652988589762437,0.024565197116512408,0.02495820143884515,337,True
georgia_like,US,IAVB,hybrid_minimax,0,20,0,0.024652988589762437,0.024565197116512408,0.02495820143884515,337,True
georgia_like,US,IAVB,identity,25,20,0,0.02480389395562707,0.024710752981976135,0.025260184831084068,337,True
georgia_like,US,IAVB,prior_correction,25,20,0,0.06093571388261902,0.06091417225557843,0.06120663653307884,337,True
georgia_like,US,IAVB,prior_correction_gated,25,20,0,0.06093571388261902,0.06091417225557843,0.06120663653307884,337,True
georgia_like,US,IAVB,prior_correction_minimax,25,20,0,0.1441130085061552,0.14407361383529665,0.14437631620439947,337,True
georgia_like,US,IAVB,temperature,25,20,0,0.043447304651146296,0.028713709644057207,0.06905147650880376,337,True
georgia_like,US,IAVB,platt,25,20,0,0.05396745616869347,0.04787452586500046,0.0772794932303366,337,True
georgia_like,US,IAVB,isotonic,25,20,0,0.05493684447852707,0.05377996162142442,0.0806691569360333,337,True
georgia_like,US,IAVB,hybrid,25,20,0,0.053088361440638054,0.04466404820623689,0.07801258807341394,337,True
georgia_like,US,IAVB,hybrid_minimax,25,20,0,0.08112013544862795,0.06174865603717039,0.1437358941422874,337,True
georgia_like,US,IAVB,identity,50,20,0,0.024776984366269537,0.024706967587437453,0.0254142460517335,337,True
georgia_like,US,IAVB,prior_correction,50,20,0,0.06100099795695443,0.06095464780260268,0.06157755948016632,337,True
georgia_like,US,IAVB,prior_correction_gated,50,20,0,0.06100099795695443,0.06095464780260268,0.06157755948016632,337,True
georgia_like,US,IAVB,prior_correction_minimax,50,20,0,0.14418166782331243,0.14414980688673454,0.14479424466644764,337,True
georgia_like,US,IAVB,temperature,50,20,0,0.04003509009537259,0.034011115205363165,0.0656103590157788,337,True
georgia_like,US,IAVB,platt,50,20,0,0.04425643136000441,0.037746974763014314,0.07435648702122798,337,True
georgia_like,US,IAVB,isotonic,50,20,0,0.04420324647923925,0.04024746307853298,0.06723899935678425,337,True
georgia_like,US,IAVB,hybrid,50,20,0,0.046984050058555396,0.04385480886892733,0.06477395158793374,337,True
georgia_like,US,IAVB,hybrid_minimax,50,20,0,0.069616059686234,0.0667789515834011,0.08728292294591329,337,True
georgia_like,US,IAVB,identity,100,20,0,0.024661787027808607,0.02478915633824989,0.02521358907592685,337,True
georgia_like,US,IAVB,prior_correction,100,20,0,0.06095540655852374,0.061005812631169345,0.06169120473298737,337,True
georgia_like,US,IAVB,prior_correction_gated,100,20,0,0.06095540655852374,0.061005812631169345,0.06169120473298737,337,True
georgia_like,US,IAVB,prior_correction_minimax,100,20,0,0.14411000418442094,0.14419505650580777,0.1448274573977654,337,True
georgia_like,US,IAVB,temperature,100,20,0,0.028839374276747397,0.02839708984484327,0.03700233979300858,337,True
georgia_like,US,IAVB,platt,100,20,0,0.02915641537322084,0.02931952830566026,0.039291054178858656,337,True
georgia_like,US,IAVB,isotonic,100,20,0,0.03649696459445478,0.03696314237193986,0.04995065945280456,337,True
georgia_like,US,IAVB,hybrid,100,20,0,0.03720920931458116,0.03539636289541853,0.04359202099288799,337,True
georgia_like,US,IAVB,hybrid_minimax,100,20,0,0.06194968953024142,0.06038096430662418,0.07501257023318182,337,True
georgia_like,US,IAVB,identity,200,20,0,0.024639887905723745,0.024639420875480468,0.02534611373340098,337,True
georgia_like,US,IAVB,prior_correction,200,20,0,0.060926817410281796,0.06096992491315795,0.06177738313839125,337,True
georgia_like,US,IAVB,prior_correction_gated,200,20,0,0.060926817410281796,0.06096992491315795,0.06177738313839125,337,True
georgia_like,US,IAVB,prior_correction_minimax,200,20,0,0.14399901353814595,0.14400202257709027,0.14488082939188568,337,True
georgia_like,US,IAVB,temperature,200,20,0,0.024627450343075837,0.02319737458734749,0.029937200892131234,337,True
georgia_like,US,IAVB,platt,200,20,0,0.023344880033386292,0.022946723988198726,0.029925421011977992,337,True
georgia_like,US,IAVB,isotonic,200,20,0,0.02446967679212386,0.025722039424642625,0.03285120633461111,337,True
georgia_like,US,IAVB,hybrid,200,20,0,0.033147151311569416,0.03173839447396727,0.03650895256430748,337,True
georgia_like,US,IAVB,hybrid_minimax,200,20,0,0.05831632002310703,0.0574864411259434,0.06393794176158471,337,True
georgia_like,US,IAVB,identity,400,20,0,0.024620707723951602,0.02459196551970204,0.02566288474936965,337,True
georgia_like,US,IAVB,prior_correction,400,20,0,0.060891089594378126,0.060789767579734685,0.0625602384586644,337,True
georgia_like,US,IAVB,prior_correction_gated,400,20,0,0.060891089594378126,0.060789767579734685,0.0625602384586644,337,True
georgia_like,US,IAVB,prior_correction_minimax,400,20,0,0.143924190420358,0.14368377650125563,0.14572714297166742,337,True
georgia_like,US,IAVB,temperature,400,20,0,0.0240534329395851,0.022807526411844962,0.026843569236121845,337,True
georgia_like,US,IAVB,platt,400,20,0,0.019682709437875597,0.01865249287066118,0.022347512296337534,337,True
georgia_like,US,IAVB,isotonic,400,20,0,0.01739830488076166,0.017152026636510703,0.02487143460967806,337,True
georgia_like,US,IAVB,hybrid,400,20,0,0.03285380588509204,0.03091888177383831,0.03764459175452252,337,True
georgia_like,US,IAVB,hybrid_minimax,400,20,0,0.05795395793033629,0.05541258546602028,0.06799505049374473,337,True
georgia_like,US,IAVB,identity,800,20,0,0.02423329957264272,0.024561458781619576,0.025941047083516997,337,True
georgia_like,US,IAVB,prior_correction,800,20,0,0.06118129075388183,0.06125127764925399,0.0626637179458775,337,True
georgia_like,US,IAVB,prior_correction_gated,800,20,0,0.06118129075388183,0.06125127764925399,0.0626637179458775,337,True
georgia_like,US,IAVB,prior_correction_minimax,800,20,0,0.14412355549143505,0.14401877392141077,0.14605543701403326,337,True
georgia_like,US,IAVB,temperature,800,20,0,0.023212377109087377,0.02288203383006883,0.02705655980333467,337,True
georgia_like,US,IAVB,platt,800,20,0,0.017593092969805275,0.017160208962314932,0.02138601864242505,337,True
georgia_like,US,IAVB,isotonic,800,20,0,0.0115757575533303,0.009933886596992993,0.019075064934031372,337,True
georgia_like,US,IAVB,hybrid,800,20,0,0.03239897549799307,0.031868047379845985,0.03507052053101749,337,True
georgia_like,US,IAVB,hybrid_minimax,800,20,0,0.059341345263132526,0.05857849789077174,0.065129919764385,337,True
georgia_like,US,RBBB,identity,0,1,0,0.00020004007320564336,0.00020004007320564336,0.00020004007320564336,297,True
georgia_like,US,RBBB,prior_correction,0,1,0,0.00020004008414651784,0.00020004008414651784,0.00020004008414651784,297,True
georgia_like,US,RBBB,prior_correction_gated,0,1,0,0.00020004008414651784,0.00020004008414651784,0.00020004008414651784,297,True
georgia_like,US,RBBB,prior_correction_minimax,0,1,0,0.00019725826329087292,0.00019725826329087292,0.00019725826329087292,297,True
georgia_like,US,RBBB,temperature,0,20,0,0.00020004007320564336,0.00020004007320564336,0.00020004007320564336,297,True
georgia_like,US,RBBB,platt,0,20,0,0.00020004007320564336,0.00020004007320564336,0.00020004007320564336,297,True
georgia_like,US,RBBB,isotonic,0,20,0,0.00020004007320564336,0.00020004007320564336,0.00020004007320564336,297,True
georgia_like,US,RBBB,hybrid,0,20,0,0.00020004007320564336,0.00020004007320564336,0.00020004007320564336,297,True
georgia_like,US,RBBB,hybrid_minimax,0,20,0,0.00020004007320564336,0.00020004007320564336,0.00020004007320564336,297,True
georgia_like,US,RBBB,identity,25,20,0,0.00020100509064184505,0.0002010050906442185,0.0002010050906442259,297,True
georgia_like,US,RBBB,prior_correction,25,20,0,0.00020100510163510206,0.00020100510163787854,0.00020100510163787854,297,True
georgia_like,US,RBBB,prior_correction_gated,25,20,0,0.00020100510163510206,0.00020100510163787854,0.00020100510163787854,297,True
georgia_like,US,RBBB,prior_correction_minimax,25,20,0,0.00019820986094292486,0.00019820986094292744,0.00019820986094292744,297,True
georgia_like,US,RBBB,temperature,25,20,0,0.00020166361054734828,0.00020158980984472455,0.0002018852261286494,297,True
georgia_like,US,RBBB,platt,25,20,0,0.00020188574874171472,0.00020188562813869965,0.00020188643215880085,297,True
georgia_like,US,RBBB,isotonic,25,20,0,0.015075376933556308,0.0002010050906442222,0.059698492462311556,297,True
