site,country,label,method,n_star_empirical,zero_shot_coverage,gamma,eps,alpha,n_star_upper,n_star_lower,upper_feasible,mean_pred_var,n_positive,n,reliable_estimate
georgia_like,US,AF,prior_correction,,0.0,0.02334888955107839,0.02,0.1,inf,157,False,0.06279645121775054,232,2500,True
georgia_like,US,AF,temperature,,0.0,0.02334888955107839,0.02,0.1,inf,157,False,0.06279645121775054,232,2500,True
georgia_like,US,AF,hybrid,,0.0,0.02334888955107839,0.02,0.1,inf,157,False,0.06279645121775054,232,2500,True
georgia_like,US,IAVB,prior_correction,,0.0,0.033713464211780536,0.02,0.1,inf,157,False,0.08113575408375695,178,2500,True
georgia_like,US,IAVB,temperature,,0.0,0.033713464211780536,0.02,0.1,inf,157,False,0.08113575408375695,178,2500,True
georgia_like,US,IAVB,hybrid,,0.0,0.033713464211780536,0.02,0.1,inf,157,False,0.08113575408375695,178,2500,True
georgia_like,US,RBBB,prior_correction,0.0,1.0,0.004194686986989485,0.02,0.1,60.0,0,True,0.009851972875961136,156,2500,True
georgia_like,US,RBBB,temperature,0.0,1.0,0.004194686986989485,0.02,0.1,60.0,0,True,0.009851972875961136,156,2500,True
georgia_like,US,RBBB,hybrid,0.0,1.0,0.004194686986989485,0.02,0.1,60.0,0,True,0.009851972875961136,156,2500,True
georgia_like,US,LBBB,prior_correction,0.0,1.0,0.0006409003156677898,0.02,0.1,5.0,0,True,0.0011013648981107647,79,2500,True
georgia_like,US,LBBB,temperature,0.0,1.0,0.0006409003156677898,0.02,0.1,5.0,0,True,0.0011013648981107647,79,2500,True
georgia_like,US,LBBB,hybrid,0.0,1.0,0.0006409003156677898,0.02,0.1,5.0,0,True,0.0011013648981107647,79,2500,True
georgia_like,US,SB,prior_correction,,0.8666666666666667,0.009562817604642691,0.02,0.1,377.0,0,True,0.02620620104526849,187,2500,True
georgia_like,US,SB,temperature,0.0,0.9833333333333333,0.009562817604642691,0.02,0.1,377.0,0,True,0.02620620104526849,187,2500,True
georgia_like,US,SB,hybrid,,0.8666666666666667,0.009562817604642691,0.02,0.1,377.0,0,True,0.02620620104526849,187,2500,True
georgia_like,US,STACH,prior_correction,0.0,1.0,0.005485522636431097,0.02,0.1,170.0,0,True,0.02255527567082709,227,2500,True
georgia_like,US,STACH,temperature,0.0,1.0,0.005485522636431097,0.02,0.1,170.0,0,True,0.02255527567082709,227,2500,True
georgia_like,US,STACH,hybrid,0.0,1.0,0.005485522636431097,0.02,0.1,170.0,0,True,0.02255527567082709,227,2500,True
ptbxl_like,DE,AF,prior_correction,,0.0,0.04693596184364325,0.02,0.1,inf,157,False,0.017732493509759275,203,2500,True
ptbxl_like,DE,AF,temperature,,0.0,0.04693596184364325,0.02,0.1,inf,157,False,0.017732493509759275,203,2500,True
ptbxl_like,DE,AF,hybrid,1250.0,0.0,0.04693596184364325,0.02,0.1,inf,157,False,0.017732493509759275,203,2500,True
ptbxl_like,DE,IAVB,prior_correction,,0.03333333333333333,0.02704303896064205,0.02,0.1,inf,157,False,0.07467140530003388,105,2500,True
ptbxl_like,DE,IAVB,temperature,,0.0,0.02704303896064205,0.02,0.1,inf,157,False,0.07467140530003388,105,2500,True
ptbxl_like,DE,IAVB,hybrid,,0.03333333333333333,0.02704303896064205,0.02,0.1,inf,157,False,0.07467140530003388,105,2500,True
ptbxl_like,DE,RBBB,prior_correction,,0.0,0.026719834760180135,0.02,0.1,inf,157,False,0.017687069590215612,147,2500,True
ptbxl_like,DE,RBBB,temperature,,0.0,0.026719834760180135,0.02,0.1,inf,157,False,0.017687069590215612,147,2500,True
ptbxl_like,DE,RBBB,hybrid,,0.0,0.026719834760180135,0.02,0.1,inf,157,False,0.017687069590215612,147,2500,True
ptbxl_like,DE,LBBB,prior_correction,,0.0,0.004371910596754202,0.02,0.1,12.0,0,True,0.0017763813976241704,72,2500,True
ptbxl_like,DE,LBBB,temperature,0.0,1.0,0.004371910596754202,0.02,0.1,12.0,0,True,0.0017763813976241704,72,2500,True
ptbxl_like,DE,LBBB,hybrid,200.0,0.0,0.004371910596754202,0.02,0.1,12.0,0,True,0.0017763813976241704,72,2500,True
ptbxl_like,DE,SB,prior_correction,,0.0,0.04258740734336729,0.02,0.1,inf,157,False,0.04044407854796995,72,2500,True
ptbxl_like,DE,SB,temperature,,0.0,0.04258740734336729,0.02,0.1,inf,157,False,0.04044407854796995,72,2500,True
ptbxl_like,DE,SB,hybrid,,0.0,0.04258740734336729,0.02,0.1,inf,157,False,0.04044407854796995,72,2500,True
ptbxl_like,DE,STACH,prior_correction,,0.38333333333333336,0.007649326076073052,0.02,0.1,118.0,0,True,0.011169389959523705,91,2500,True
ptbxl_like,DE,STACH,temperature,0.0,1.0,0.007649326076073052,0.02,0.1,118.0,0,True,0.011169389959523705,91,2500,True
ptbxl_like,DE,STACH,hybrid,,0.38333333333333336,0.007649326076073052,0.02,0.1,118.0,0,True,0.011169389959523705,91,2500,True
chapman_like,CN,AF,prior_correction,,0.16666666666666666,0.021595440870318373,0.02,0.1,inf,157,False,0.04556938071047944,188,2500,True
chapman_like,CN,AF,temperature,,0.0,0.021595440870318373,0.02,0.1,inf,157,False,0.04556938071047944,188,2500,True
chapman_like,CN,AF,hybrid,,0.16666666666666666,0.021595440870318373,0.02,0.1,inf,157,False,0.04556938071047944,188,2500,True
chapman_like,CN,IAVB,prior_correction,,0.0,0.04566325940519207,0.02,0.1,inf,157,False,0.083893805506325,150,2500,True
chapman_like,CN,IAVB,temperature,,0.0,0.04566325940519207,0.02,0.1,inf,157,False,0.083893805506325,150,2500,True
chapman_like,CN,IAVB,hybrid,,0.0,0.04566325940519207,0.02,0.1,inf,157,False,0.083893805506325,150,2500,True
chapman_like,CN,RBBB,prior_correction,,0.0,0.19110664184245946,0.02,0.1,inf,157,False,0.0669311994955579,182,2500,True
chapman_like,CN,RBBB,temperature,,0.0,0.19110664184245946,0.02,0.1,inf,157,False,0.0669311994955579,182,2500,True
chapman_like,CN,RBBB,hybrid,,0.0,0.19110664184245946,0.02,0.1,inf,157,False,0.0669311994955579,182,2500,True
chapman_like,CN,LBBB,prior_correction,0.0,1.0,0.00692797162959072,0.02,0.1,8.0,0,True,0.0008223832585250741,39,2500,True
chapman_like,CN,LBBB,temperature,0.0,1.0,0.00692797162959072,0.02,0.1,8.0,0,True,0.0008223832585250741,39,2500,True
chapman_like,CN,LBBB,hybrid,0.0,1.0,0.00692797162959072,0.02,0.1,8.0,0,True,0.0008223832585250741,39,2500,True
chapman_like,CN,SB,prior_correction,,0.13333333333333333,0.024489874546497828,0.02,0.1,inf,157,False,0.040568901203163886,432,2500,True
chapman_like,CN,SB,temperature,,0.0,0.024489874546497828,0.02,0.1,inf,157,False,0.040568901203163886,432,2500,True
chapman_like,CN,SB,hybrid,,0.13333333333333333,0.024489874546497828,0.02,0.1,inf,157,False,0.040568901203163886,432,2500,True
chapman_like,CN,STACH,prior_correction,0.0,1.0,0.004761651009872914,0.02,0.1,134.0,0,True,0.018178686442170085,140,2500,True
chapman_like,CN,STACH,temperature,0.0,1.0,0.004761651009872914,0.02,0.1,134.0,0,True,0.018178686442170085,140,2500,True
chapman_like,CN,STACH,hybrid,0.0,1.0,0.004761651009872914,0.02,0.1,134.0,0,True,0.018178686442170085,140,2500,True
code15_like,BR,AF,prior_correction,,0.0,0.15267305536839323,0.02,0.1,inf,157,False,0.138640362326225,37,2500,True
code15_like,BR,AF,temperature,,0.0,0.15267305536839323,0.02,0.1,inf,157,False,0.138640362326225,37,2500,True
code15_like,BR,AF,hybrid,,0.0,0.15267305536839323,0.02,0.1,inf,157,False,0.138640362326225,37,2500,True
code15_like,BR,IAVB,prior_correction,,0.0,0.025098716991972723,0.02,0.1,inf,157,False,0.10334325545044117,50,2500,True
code15_like,BR,IAVB,temperature,,0.0,0.025098716991972723,0.02,0.1,inf,157,False,0.10334325545044117,50,2500,True
code15_like,BR,IAVB,hybrid,,0.0,0.025098716991972723,0.02,0.1,inf,157,False,0.10334325545044117,50,2500,True
code15_like,BR,RBBB,prior_correction,,0.2833333333333333,0.017299838625941623,0.02,0.1,694.0,0,True,0.0036107096319697093,65,2500,True
code15_like,BR,RBBB,temperature,0.0,1.0,0.017299838625941623,0.02,0.1,694.0,0,True,0.0036107096319697093,65,2500,True
code15_like,BR,RBBB,hybrid,,0.2833333333333333,0.017299838625941623,0.02,0.1,694.0,0,True,0.0036107096319697093,65,2500,True
code15_like,BR,LBBB,prior_correction,,0.0,0.006275580174744994,0.02,0.1,48.0,0,True,0.005216388765476921,19,2500,False
code15_like,BR,LBBB,temperature,0.0,1.0,0.006275580174744994,0.02,0.1,48.0,0,True,0.005216388765476921,19,2500,False
code15_like,BR,LBBB,hybrid,,0.0,0.006275580174744994,0.02,0.1,48.0,0,True,0.005216388765476921,19,2500,False
code15_like,BR,SB,prior_correction,,0.0,0.02253026217518183,0.02,0.1,inf,157,False,0.04159120948730513,100,2500,True
code15_like,BR,SB,temperature,,0.0,0.02253026217518183,0.02,0.1,inf,157,False,0.04159120948730513,100,2500,True
code15_like,BR,SB,hybrid,,0.0,0.02253026217518183,0.02,0.1,inf,157,False,0.04159120948730513,100,2500,True
code15_like,BR,STACH,prior_correction,,0.0,0.016385318092648895,0.02,0.1,1051.0,0,True,0.008719182903668217,66,2500,True
code15_like,BR,STACH,temperature,0.0,1.0,0.016385318092648895,0.02,0.1,1051.0,0,True,0.008719182903668217,66,2500,True
code15_like,BR,STACH,hybrid,400.0,0.0,0.016385318092648895,0.02,0.1,1051.0,0,True,0.008719182903668217,66,2500,True
korea_like,KR,AF,prior_correction,0.0,1.0,0.005667616740865767,0.02,0.1,64.0,0,True,0.006179153160297868,16,2500,False
korea_like,KR,AF,temperature,0.0,1.0,0.005667616740865767,0.02,0.1,64.0,0,True,0.006179153160297868,16,2500,False
korea_like,KR,AF,hybrid,0.0,1.0,0.005667616740865767,0.02,0.1,64.0,0,True,0.006179153160297868,16,2500,False
korea_like,KR,IAVB,prior_correction,,0.21666666666666667,0.009766621423656412,0.02,0.1,1654.0,0,True,0.073341709566329,38,2500,True
korea_like,KR,IAVB,temperature,,0.0,0.009766621423656412,0.02,0.1,1654.0,0,True,0.073341709566329,38,2500,True
korea_like,KR,IAVB,hybrid,400.0,0.21666666666666667,0.009766621423656412,0.02,0.1,1654.0,0,True,0.073341709566329,38,2500,True
korea_like,KR,RBBB,prior_correction,0.0,1.0,0.0004986610827340963,0.02,0.1,32.0,0,True,0.006621026834717654,47,2500,True
korea_like,KR,RBBB,temperature,0.0,1.0,0.0004986610827340963,0.02,0.1,32.0,0,True,0.006621026834717654,47,2500,True
korea_like,KR,RBBB,hybrid,0.0,1.0,0.0004986610827340963,0.02,0.1,32.0,0,True,0.006621026834717654,47,2500,True
korea_like,KR,LBBB,prior_correction,0.0,1.0,0.0005227972268358365,0.02,0.1,1.0,0,True,9.470266139836411e-05,6,2500,False
korea_like,KR,LBBB,temperature,0.0,1.0,0.0005227972268358365,0.02,0.1,1.0,0,True,9.470266139836411e-05,6,2500,False
korea_like,KR,LBBB,hybrid,0.0,1.0,0.0005227972268358365,0.02,0.1,1.0,0,True,9.470266139836411e-05,6,2500,False
korea_like,KR,SB,prior_correction,,0.0,0.07730382166746481,0.02,0.1,inf,157,False,0.05577799272637694,266,2500,True
korea_like,KR,SB,temperature,,0.0,0.07730382166746481,0.02,0.1,inf,157,False,0.05577799272637694,266,2500,True
korea_like,KR,SB,hybrid,,0.0,0.07730382166746481,0.02,0.1,inf,157,False,0.05577799272637694,266,2500,True
korea_like,KR,STACH,prior_correction,0.0,1.0,0.004709348180683418,0.02,0.1,14.0,0,True,0.0019891398243955328,25,2500,True
korea_like,KR,STACH,temperature,0.0,1.0,0.004709348180683418,0.02,0.1,14.0,0,True,0.0019891398243955328,25,2500,True
