site,country,label,method,n_cal,n_repeats,ece_mean,ece_median,ece_q90,n_positive,reliable_estimate
georgia_like,US,AF,identity,0,1,0.04269269900949758,0.04269269900949758,0.04269269900949758,232,True
georgia_like,US,AF,prior_correction,0,1,0.09283713485394157,0.09283713485394157,0.09283713485394157,232,True
georgia_like,US,AF,temperature,0,20,0.042676609828018366,0.0426814048277582,0.04272597131899385,232,True
georgia_like,US,AF,platt,0,20,0.042676609828018366,0.0426814048277582,0.04272597131899385,232,True
georgia_like,US,AF,isotonic,0,20,0.042676609828018366,0.0426814048277582,0.04272597131899385,232,True
georgia_like,US,AF,hybrid,0,20,0.042676609828018366,0.0426814048277582,0.04272597131899385,232,True
georgia_like,US,AF,identity,25,20,0.0426223543980001,0.04264324184043451,0.04307080525998932,232,True
georgia_like,US,AF,prior_correction,25,20,0.04504808192847171,0.038446124803772214,0.09391141091322869,232,True
georgia_like,US,AF,temperature,25,20,0.04017013926136599,0.037546179161026705,0.04374183663757679,232,True
georgia_like,US,AF,platt,25,20,0.04044335910556368,0.037695761326860845,0.053871350979656334,232,True
georgia_like,US,AF,isotonic,25,20,0.03772541745176135,0.03469364392166916,0.07439896914490839,232,True
georgia_like,US,AF,hybrid,25,20,0.04810322012466063,0.04287934290735877,0.0798763426893212,232,True
georgia_like,US,AF,identity,50,20,0.042685621400385454,0.04258144959881602,0.043373570920620115,232,True
georgia_like,US,AF,prior_correction,50,20,0.03943795511399514,0.04015735781399188,0.0675034315139608,232,True
georgia_like,US,AF,temperature,50,20,0.03549971708006702,0.03276638347344145,0.0491426100194061,232,True
georgia_like,US,AF,platt,50,20,0.031215691691537067,0.03134484876065953,0.05574878898215013,232,True
georgia_like,US,AF,isotonic,50,20,0.03300127316836249,0.027440582258221373,0.05438381782325756,232,True
georgia_like,US,AF,hybrid,50,20,0.03685660615125918,0.03705091633388709,0.05870726445435309,232,True
georgia_like,US,AF,identity,100,20,0.04255387965195288,0.04240837824588023,0.043856263424513965,232,True
georgia_like,US,AF,prior_correction,100,20,0.0364976860084602,0.03318332094346538,0.053148286736767386,232,True
georgia_like,US,AF,temperature,100,20,0.03279236333903376,0.030590814571692312,0.039670696221528114,232,True
georgia_like,US,AF,platt,100,20,0.02473755108252298,0.02615319841805061,0.034170881902136296,232,True
georgia_like,US,AF,isotonic,100,20,0.027411536640631014,0.025944249762759046,0.04200690407011937,232,True
georgia_like,US,AF,hybrid,100,20,0.030377063648464625,0.030621798150618836,0.04546677314682784,232,True
georgia_like,US,AF,identity,200,20,0.04296614384974779,0.04304167908344367,0.04361671937759913,232,True
georgia_like,US,AF,prior_correction,200,20,0.03341477383265492,0.033203662460659415,0.04233889739312687,232,True
georgia_like,US,AF,temperature,200,20,0.03194242014428063,0.03031749561901917,0.03706944861563453,232,True
georgia_like,US,AF,platt,200,20,0.019470228620572,0.016904408760972767,0.030707247737251385,232,True
georgia_like,US,AF,isotonic,200,20,0.02293301727261833,0.02035436656736437,0.030576028970322817,232,True
georgia_like,US,AF,hybrid,200,20,0.026074431142994875,0.024504073966356406,0.03777127855750716,232,True
georgia_like,US,AF,identity,400,20,0.043580964840020206,0.04317903856346417,0.04650456390153665,232,True
georgia_like,US,AF,prior_correction,400,20,0.033344936024483254,0.03476720406338179,0.04344497690981051,232,True
georgia_like,US,AF,temperature,400,20,0.031170026682528294,0.02982118507053489,0.03601287856561146,232,True
georgia_like,US,AF,platt,400,20,0.01630597453904405,0.015038169798841686,0.024976249287867354,232,True
georgia_like,US,AF,isotonic,400,20,0.019156257151785355,0.01720225043982415,0.027419599595432973,232,True
georgia_like,US,AF,hybrid,400,20,0.024491316168124767,0.02310563041936692,0.03529395404162159,232,True
georgia_like,US,AF,identity,800,20,0.04455938149851532,0.044309167403463995,0.04826559317785464,232,True
georgia_like,US,AF,prior_correction,800,20,0.032110590392028536,0.03067210186568061,0.04199041265942162,232,True
georgia_like,US,AF,temperature,800,20,0.031704840372524655,0.031649664002868894,0.03529384652055071,232,True
georgia_like,US,AF,platt,800,20,0.01576623544080784,0.014574138359343503,0.021931452474187926,232,True
georgia_like,US,AF,isotonic,800,20,0.01665955412048618,0.0155975116469915,0.025839815797131866,232,True
georgia_like,US,AF,hybrid,800,20,0.02345018569143224,0.02222812574144763,0.02969455161582263,232,True
georgia_like,US,IAVB,identity,0,1,0.0393172727937094,0.0393172727937094,0.0393172727937094,178,True
georgia_like,US,IAVB,prior_correction,0,1,0.9287715086034414,0.9287715086034414,0.9287715086034414,178,True
georgia_like,US,IAVB,temperature,0,20,0.03935137010083063,0.03934207989785636,0.03937177902875417,178,True
georgia_like,US,IAVB,platt,0,20,0.03935137010083063,0.03934207989785636,0.03937177902875417,178,True
georgia_like,US,IAVB,isotonic,0,20,0.03935137010083063,0.03934207989785636,0.03937177902875417,178,True
georgia_like,US,IAVB,hybrid,0,20,0.03935137010083063,0.03934207989785636,0.03937177902875417,178,True
georgia_like,US,IAVB,identity,25,20,0.03929934759009483,0.03940444156211283,0.03968381698023224,178,True
georgia_like,US,IAVB,prior_correction,25,20,0.18922199846117102,0.07151515151515152,0.550651524625222,178,True
georgia_like,US,IAVB,temperature,25,20,0.04982052072710487,0.04011859110403469,0.07220414177887152,178,True
georgia_like,US,IAVB,platt,25,20,0.05102350053405409,0.03932155326350095,0.0970493202594766,178,True
georgia_like,US,IAVB,isotonic,25,20,0.057440362926402956,0.06452480435090427,0.0918802944631252,178,True
georgia_like,US,IAVB,hybrid,25,20,0.13177085256703183,0.03475611224856269,0.43635946287319494,178,True
georgia_like,US,IAVB,identity,50,20,0.03907789173412744,0.038961381823665986,0.03987207680963202,178,True
georgia_like,US,IAVB,prior_correction,50,20,0.1908354044297657,0.16880701748210053,0.32141613735126345,178,True
georgia_like,US,IAVB,temperature,50,20,0.04494271024386981,0.039883993455043204,0.05952585097917916,178,True
georgia_like,US,IAVB,platt,50,20,0.03971772994086404,0.03686296989231601,0.06327537602847295,178,True
georgia_like,US,IAVB,isotonic,50,20,0.04504670418968282,0.048595714606321234,0.05809063541249394,178,True
georgia_like,US,IAVB,hybrid,50,20,0.16024035956888355,0.09853968688341053,0.31419987885375145,178,True
georgia_like,US,IAVB,identity,100,20,0.03980159942959853,0.039694273755303364,0.041266995273615735,178,True
georgia_like,US,IAVB,prior_correction,100,20,0.1441731277816652,0.11415438395400823,0.24354168597048853,178,True
georgia_like,US,IAVB,temperature,100,20,0.04531202474219592,0.03867389767533329,0.04715618170011047,178,True
georgia_like,US,IAVB,platt,100,20,0.033730122642985076,0.03047557219095296,0.044579515212548944,178,True
georgia_like,US,IAVB,isotonic,100,20,0.03979693071345751,0.03470645839248605,0.056104241838239255,178,True
georgia_like,US,IAVB,hybrid,100,20,0.10744526040302169,0.06687418206332582,0.1974173074139546,178,True
georgia_like,US,IAVB,identity,200,20,0.04049946075849775,0.04036009511015709,0.04245556811924475,178,True
georgia_like,US,IAVB,prior_correction,200,20,0.13421082616776814,0.12555921257549799,0.2197557764361468,178,True
georgia_like,US,IAVB,temperature,200,20,0.04270519329893309,0.03947097372848324,0.04478648972923363,178,True
georgia_like,US,IAVB,platt,200,20,0.02697447405180644,0.02596853951811725,0.031197409732398363,178,True
